Barcode,Mid
s_008um_00436_00232-1,PC
s_008um_00455_00217-1,PC
s_008um_00425_00223-1,PC
s_008um_00431_00208-1,PC
s_008um_00420_00232-1,PC
s_008um_00474_00210-1,PC
s_008um_00421_00205-1,PC
s_008um_00433_00225-1,PC
s_008um_00449_00238-1,PC
s_008um_00473_00210-1,PC
s_008um_00473_00221-1,PC
s_008um_00412_00228-1,PC
s_008um_00422_00226-1,PC
s_008um_00434_00229-1,PC
s_008um_00409_00219-1,PC
s_008um_00420_00228-1,PC
s_008um_00472_00204-1,PC
s_008um_00476_00228-1,PC
s_008um_00450_00215-1,PC
s_008um_00449_00206-1,PC
s_008um_00475_00211-1,PC
s_008um_00450_00236-1,PC
s_008um_00444_00234-1,PC
s_008um_00462_00224-1,PC
s_008um_00442_00206-1,PC
s_008um_00417_00206-1,PC
s_008um_00459_00236-1,PC
s_008um_00450_00233-1,PC
s_008um_00480_00209-1,PC
s_008um_00475_00223-1,PC
s_008um_00448_00207-1,PC
s_008um_00421_00215-1,PC
s_008um_00413_00214-1,PC
s_008um_00463_00237-1,PC
s_008um_00471_00236-1,PC
s_008um_00449_00234-1,PC
s_008um_00436_00203-1,PC
s_008um_00483_00227-1,PC
s_008um_00414_00230-1,PC
s_008um_00412_00229-1,PC
s_008um_00467_00207-1,PC
s_008um_00430_00223-1,PC
s_008um_00450_00239-1,PC
s_008um_00428_00229-1,PC
s_008um_00466_00229-1,PC
s_008um_00441_00208-1,PC
s_008um_00447_00217-1,PC
s_008um_00473_00217-1,PC
s_008um_00458_00220-1,PC
s_008um_00448_00224-1,PC
s_008um_00475_00221-1,PC
s_008um_00453_00240-1,PC
s_008um_00442_00232-1,PC
s_008um_00463_00216-1,PC
s_008um_00426_00212-1,PC
s_008um_00415_00220-1,PC
s_008um_00442_00215-1,PC
s_008um_00475_00222-1,PC
s_008um_00480_00231-1,PC
s_008um_00460_00208-1,PC
s_008um_00458_00209-1,PC
s_008um_00473_00201-1,PC
s_008um_00434_00230-1,PC
s_008um_00455_00230-1,PC
s_008um_00482_00213-1,PC
s_008um_00436_00236-1,PC
s_008um_00459_00228-1,PC
s_008um_00449_00242-1,PC
s_008um_00420_00231-1,PC
s_008um_00446_00214-1,PC
s_008um_00453_00233-1,PC
s_008um_00461_00203-1,PC
s_008um_00473_00226-1,PC
s_008um_00412_00232-1,PC
s_008um_00431_00207-1,PC
s_008um_00456_00233-1,PC
s_008um_00472_00215-1,PC
s_008um_00479_00235-1,PC
s_008um_00430_00233-1,PC
s_008um_00421_00228-1,PC
s_008um_00431_00224-1,PC
s_008um_00461_00221-1,PC
s_008um_00446_00242-1,PC
s_008um_00464_00234-1,PC
s_008um_00419_00233-1,PC
s_008um_00454_00239-1,PC
s_008um_00463_00229-1,PC
s_008um_00432_00206-1,PC
s_008um_00444_00225-1,PC
s_008um_00461_00211-1,PC
s_008um_00426_00235-1,PC
s_008um_00436_00208-1,PC
s_008um_00475_00237-1,PC
s_008um_00438_00218-1,PC
s_008um_00467_00204-1,PC
s_008um_00480_00198-1,PC
s_008um_00468_00233-1,PC
s_008um_00479_00217-1,PC
s_008um_00431_00203-1,PC
s_008um_00472_00220-1,PC
s_008um_00431_00206-1,PC
s_008um_00476_00215-1,PC
s_008um_00413_00221-1,PC
s_008um_00424_00218-1,PC
s_008um_00418_00207-1,PC
s_008um_00455_00236-1,PC
s_008um_00422_00215-1,PC
s_008um_00459_00235-1,PC
s_008um_00413_00231-1,PC
s_008um_00467_00202-1,PC
s_008um_00413_00227-1,PC
s_008um_00465_00231-1,PC
s_008um_00410_00209-1,PC
s_008um_00440_00219-1,PC
s_008um_00433_00205-1,PC
s_008um_00422_00227-1,PC
s_008um_00463_00209-1,PC
s_008um_00481_00229-1,PC
s_008um_00434_00222-1,PC
s_008um_00455_00229-1,PC
s_008um_00465_00237-1,PC
s_008um_00428_00228-1,PC
s_008um_00413_00226-1,PC
s_008um_00458_00202-1,PC
s_008um_00474_00229-1,PC
s_008um_00458_00242-1,PC
s_008um_00460_00236-1,PC
s_008um_00420_00222-1,PC
s_008um_00441_00220-1,PC
s_008um_00444_00205-1,PC
s_008um_00436_00209-1,PC
s_008um_00469_00222-1,PC
s_008um_00428_00220-1,PC
s_008um_00450_00225-1,PC
s_008um_00476_00234-1,PC
s_008um_00435_00221-1,PC
s_008um_00452_00209-1,PC
s_008um_00478_00235-1,PC
s_008um_00420_00230-1,PC
s_008um_00416_00235-1,PC
s_008um_00457_00221-1,PC
s_008um_00474_00235-1,PC
s_008um_00461_00216-1,PC
s_008um_00448_00215-1,PC
s_008um_00471_00200-1,PC
s_008um_00429_00212-1,PC
s_008um_00445_00224-1,PC
s_008um_00425_00229-1,PC
s_008um_00461_00237-1,PC
s_008um_00423_00208-1,PC
s_008um_00461_00210-1,PC
s_008um_00439_00230-1,PC
s_008um_00466_00206-1,PC
s_008um_00454_00207-1,PC
s_008um_00441_00241-1,PC
s_008um_00431_00227-1,PC
s_008um_00440_00238-1,PC
s_008um_00424_00208-1,PC
s_008um_00453_00239-1,PC
s_008um_00423_00224-1,PC
s_008um_00421_00235-1,PC
s_008um_00446_00223-1,PC
s_008um_00438_00235-1,PC
s_008um_00446_00229-1,PC
s_008um_00475_00227-1,PC
s_008um_00457_00231-1,PC
s_008um_00475_00214-1,PC
s_008um_00419_00235-1,PC
s_008um_00448_00227-1,PC
s_008um_00435_00224-1,PC
s_008um_00413_00209-1,PC
s_008um_00465_00201-1,PC
s_008um_00435_00225-1,PC
s_008um_00419_00207-1,PC
s_008um_00459_00241-1,PC
s_008um_00449_00215-1,PC
s_008um_00406_00200-1,PC
s_008um_00418_00203-1,PC
s_008um_00423_00231-1,PC
s_008um_00462_00221-1,PC
s_008um_00427_00225-1,PC
s_008um_00429_00217-1,PC
s_008um_00416_00224-1,PC
s_008um_00440_00203-1,PC
s_008um_00449_00222-1,PC
s_008um_00451_00218-1,PC
s_008um_00419_00223-1,PC
s_008um_00466_00200-1,PC
s_008um_00421_00229-1,PC
s_008um_00439_00228-1,PC
s_008um_00482_00220-1,PC
s_008um_00451_00227-1,PC
s_008um_00427_00226-1,PC
s_008um_00445_00241-1,PC
s_008um_00460_00202-1,PC
s_008um_00481_00218-1,PC
s_008um_00469_00233-1,PC
s_008um_00461_00238-1,PC
s_008um_00480_00232-1,PC
s_008um_00468_00240-1,PC
s_008um_00478_00213-1,PC
s_008um_00420_00203-1,PC
s_008um_00465_00209-1,PC
s_008um_00466_00202-1,PC
s_008um_00438_00221-1,PC
s_008um_00470_00226-1,PC
s_008um_00447_00238-1,PC
s_008um_00469_00227-1,PC
s_008um_00451_00224-1,PC
s_008um_00464_00231-1,PC
s_008um_00480_00233-1,PC
s_008um_00436_00207-1,PC
s_008um_00477_00224-1,PC
s_008um_00422_00224-1,PC
s_008um_00416_00205-1,PC
s_008um_00446_00224-1,PC
s_008um_00418_00230-1,PC
s_008um_00407_00210-1,PC
s_008um_00450_00209-1,PC
s_008um_00448_00217-1,PC
s_008um_00470_00203-1,PC
s_008um_00435_00237-1,PC
s_008um_00443_00220-1,PC
s_008um_00481_00202-1,PC
s_008um_00475_00224-1,PC
s_008um_00448_00231-1,PC
s_008um_00437_00226-1,PC
s_008um_00424_00216-1,PC
s_008um_00416_00234-1,PC
s_008um_00434_00236-1,PC
s_008um_00449_00231-1,PC
s_008um_00466_00227-1,PC
s_008um_00422_00214-1,PC
s_008um_00461_00231-1,PC
s_008um_00479_00220-1,PC
s_008um_00451_00238-1,PC
s_008um_00409_00216-1,PC
s_008um_00473_00199-1,PC
s_008um_00450_00235-1,PC
s_008um_00438_00207-1,PC
s_008um_00420_00204-1,PC
s_008um_00428_00221-1,PC
s_008um_00462_00222-1,PC
s_008um_00438_00213-1,PC
s_008um_00426_00219-1,PC
s_008um_00440_00227-1,PC
s_008um_00450_00205-1,PC
s_008um_00437_00206-1,PC
s_008um_00427_00231-1,PC
s_008um_00421_00231-1,PC
s_008um_00416_00220-1,PC
s_008um_00414_00206-1,PC
s_008um_00407_00211-1,PC
s_008um_00438_00203-1,PC
s_008um_00468_00208-1,PC
s_008um_00433_00218-1,PC
s_008um_00453_00212-1,PC
s_008um_00430_00226-1,PC
s_008um_00419_00236-1,PC
s_008um_00425_00221-1,PC
s_008um_00420_00207-1,PC
s_008um_00477_00219-1,PC
s_008um_00426_00208-1,PC
s_008um_00482_00216-1,PC
s_008um_00427_00204-1,PC
s_008um_00446_00221-1,PC
s_008um_00409_00222-1,PC
s_008um_00451_00233-1,PC
s_008um_00412_00215-1,PC
s_008um_00441_00227-1,PC
s_008um_00459_00210-1,PC
s_008um_00473_00220-1,PC
s_008um_00482_00225-1,PC
s_008um_00415_00219-1,PC
s_008um_00454_00227-1,PC
s_008um_00427_00219-1,PC
s_008um_00416_00202-1,PC
s_008um_00467_00229-1,PC
s_008um_00411_00204-1,PC
s_008um_00427_00214-1,PC
s_008um_00436_00239-1,PC
s_008um_00450_00229-1,PC
s_008um_00453_00226-1,PC
s_008um_00428_00207-1,PC
s_008um_00449_00241-1,PC
s_008um_00446_00204-1,PC
s_008um_00470_00219-1,PC
s_008um_00444_00216-1,PC
s_008um_00468_00216-1,PC
s_008um_00420_00233-1,PC
s_008um_00462_00233-1,PC
s_008um_00481_00211-1,PC
s_008um_00479_00223-1,PC
s_008um_00481_00221-1,PC
s_008um_00448_00242-1,PC
s_008um_00420_00229-1,PC
s_008um_00428_00234-1,PC
s_008um_00476_00203-1,PC
s_008um_00421_00225-1,PC
s_008um_00468_00231-1,PC
