Barcode,Top
s_008um_00126_00123-1,PC
s_008um_00116_00129-1,PC
s_008um_00141_00145-1,PC
s_008um_00105_00120-1,PC
s_008um_00122_00153-1,PC
s_008um_00138_00128-1,PC
s_008um_00099_00148-1,PC
s_008um_00121_00134-1,PC
s_008um_00106_00126-1,PC
s_008um_00128_00139-1,PC
s_008um_00138_00122-1,PC
s_008um_00144_00136-1,PC
s_008um_00105_00153-1,PC
s_008um_00144_00129-1,PC
s_008um_00126_00153-1,PC
s_008um_00143_00129-1,PC
s_008um_00142_00125-1,PC
s_008um_00094_00132-1,PC
s_008um_00090_00127-1,PC
s_008um_00148_00106-1,PC
s_008um_00141_00126-1,PC
s_008um_00086_00128-1,PC
s_008um_00088_00129-1,PC
s_008um_00115_00124-1,PC
s_008um_00137_00132-1,PC
s_008um_00126_00149-1,PC
s_008um_00127_00123-1,PC
s_008um_00137_00148-1,PC
s_008um_00118_00142-1,PC
s_008um_00120_00151-1,PC
s_008um_00102_00141-1,PC
s_008um_00128_00118-1,PC
s_008um_00077_00124-1,PC
s_008um_00109_00129-1,PC
s_008um_00107_00140-1,PC
s_008um_00131_00121-1,PC
s_008um_00105_00124-1,PC
s_008um_00153_00142-1,PC
s_008um_00121_00146-1,PC
s_008um_00118_00128-1,PC
s_008um_00139_00114-1,PC
s_008um_00121_00122-1,PC
s_008um_00093_00124-1,PC
s_008um_00109_00144-1,PC
s_008um_00134_00149-1,PC
s_008um_00112_00153-1,PC
s_008um_00102_00150-1,PC
s_008um_00128_00122-1,PC
s_008um_00119_00117-1,PC
s_008um_00128_00116-1,PC
s_008um_00084_00134-1,PC
s_008um_00123_00138-1,PC
s_008um_00077_00120-1,PC
s_008um_00144_00132-1,PC
s_008um_00133_00121-1,PC
s_008um_00112_00129-1,PC
s_008um_00117_00145-1,PC
s_008um_00101_00148-1,PC
s_008um_00111_00143-1,PC
s_008um_00143_00112-1,PC
s_008um_00135_00141-1,PC
s_008um_00126_00141-1,PC
s_008um_00108_00151-1,PC
s_008um_00145_00126-1,PC
s_008um_00094_00129-1,PC
s_008um_00114_00144-1,PC
s_008um_00093_00143-1,PC
s_008um_00099_00151-1,PC
s_008um_00147_00134-1,PC
s_008um_00147_00146-1,PC
s_008um_00133_00118-1,PC
s_008um_00146_00109-1,PC
s_008um_00116_00135-1,PC
s_008um_00140_00144-1,PC
s_008um_00098_00140-1,PC
s_008um_00098_00129-1,PC
s_008um_00110_00131-1,PC
s_008um_00134_00129-1,PC
s_008um_00083_00135-1,PC
s_008um_00118_00127-1,PC
s_008um_00150_00133-1,PC
s_008um_00097_00144-1,PC
s_008um_00137_00117-1,PC
s_008um_00127_00139-1,PC
s_008um_00136_00110-1,PC
s_008um_00152_00129-1,PC
s_008um_00078_00126-1,PC
s_008um_00138_00120-1,PC
s_008um_00114_00124-1,PC
s_008um_00119_00123-1,PC
s_008um_00117_00131-1,PC
s_008um_00108_00146-1,PC
s_008um_00111_00121-1,PC
s_008um_00118_00146-1,PC
s_008um_00122_00134-1,PC
s_008um_00120_00143-1,PC
s_008um_00138_00135-1,PC
s_008um_00099_00123-1,PC
s_008um_00092_00151-1,PC
s_008um_00139_00128-1,PC
s_008um_00102_00124-1,PC
s_008um_00137_00143-1,PC
s_008um_00080_00126-1,PC
s_008um_00147_00114-1,PC
s_008um_00126_00129-1,PC
s_008um_00101_00124-1,PC
s_008um_00084_00124-1,PC
s_008um_00103_00134-1,PC
s_008um_00129_00120-1,PC
s_008um_00099_00150-1,PC
s_008um_00151_00120-1,PC
s_008um_00131_00144-1,PC
s_008um_00098_00143-1,PC
s_008um_00136_00109-1,PC
s_008um_00098_00144-1,PC
s_008um_00142_00144-1,PC
s_008um_00082_00129-1,PC
s_008um_00104_00135-1,PC
s_008um_00119_00141-1,PC
s_008um_00134_00122-1,PC
s_008um_00099_00149-1,PC
s_008um_00088_00123-1,PC
s_008um_00135_00130-1,PC
s_008um_00102_00120-1,PC
s_008um_00104_00152-1,PC
s_008um_00085_00123-1,PC
s_008um_00113_00145-1,PC
s_008um_00087_00152-1,PC
s_008um_00119_00127-1,PC
s_008um_00100_00143-1,PC
s_008um_00126_00140-1,PC
s_008um_00130_00124-1,PC
s_008um_00147_00142-1,PC
s_008um_00077_00126-1,PC
s_008um_00126_00119-1,PC
s_008um_00082_00130-1,PC
s_008um_00153_00131-1,PC
s_008um_00136_00138-1,PC
s_008um_00117_00117-1,PC
s_008um_00116_00120-1,PC
s_008um_00103_00132-1,PC
s_008um_00142_00111-1,PC
s_008um_00137_00118-1,PC
s_008um_00139_00119-1,PC
s_008um_00138_00140-1,PC
s_008um_00143_00118-1,PC
s_008um_00144_00125-1,PC
s_008um_00109_00151-1,PC
s_008um_00149_00122-1,PC
s_008um_00086_00138-1,PC
s_008um_00132_00122-1,PC
s_008um_00144_00143-1,PC
s_008um_00080_00120-1,PC
s_008um_00111_00146-1,PC
s_008um_00083_00123-1,PC
s_008um_00116_00133-1,PC
s_008um_00097_00149-1,PC
s_008um_00135_00119-1,PC
s_008um_00121_00150-1,PC
s_008um_00148_00110-1,PC
s_008um_00105_00133-1,PC
s_008um_00118_00140-1,PC
s_008um_00146_00129-1,PC
s_008um_00117_00136-1,PC
s_008um_00121_00127-1,PC
s_008um_00143_00139-1,PC
s_008um_00107_00121-1,PC
s_008um_00138_00134-1,PC
s_008um_00111_00151-1,PC
s_008um_00124_00148-1,PC
s_008um_00087_00147-1,PC
s_008um_00148_00139-1,PC
s_008um_00093_00130-1,PC
s_008um_00147_00144-1,PC
s_008um_00118_00122-1,PC
s_008um_00136_00127-1,PC
s_008um_00085_00147-1,PC
s_008um_00140_00128-1,PC
s_008um_00089_00147-1,PC
s_008um_00113_00149-1,PC
s_008um_00118_00149-1,PC
s_008um_00097_00148-1,PC
s_008um_00100_00152-1,PC
s_008um_00146_00147-1,PC
s_008um_00077_00123-1,PC
s_008um_00138_00124-1,PC
s_008um_00097_00135-1,PC
s_008um_00139_00120-1,PC
s_008um_00145_00135-1,PC
s_008um_00143_00119-1,PC
s_008um_00098_00136-1,PC
s_008um_00086_00136-1,PC
s_008um_00120_00127-1,PC
s_008um_00137_00130-1,PC
s_008um_00139_00109-1,PC
s_008um_00103_00141-1,PC
s_008um_00108_00150-1,PC
s_008um_00140_00120-1,PC
s_008um_00123_00117-1,PC
s_008um_00081_00126-1,PC
s_008um_00149_00142-1,PC
s_008um_00097_00147-1,PC
s_008um_00122_00138-1,PC
s_008um_00091_00130-1,PC
s_008um_00140_00114-1,PC
s_008um_00139_00140-1,PC
s_008um_00146_00113-1,PC
s_008um_00086_00130-1,PC
s_008um_00088_00139-1,PC
s_008um_00090_00126-1,PC
s_008um_00130_00136-1,PC
s_008um_00151_00112-1,PC
s_008um_00139_00135-1,PC
s_008um_00144_00142-1,PC
s_008um_00143_00127-1,PC
s_008um_00102_00144-1,PC
s_008um_00097_00126-1,PC
s_008um_00119_00144-1,PC
s_008um_00124_00126-1,PC
s_008um_00093_00147-1,PC
s_008um_00112_00142-1,PC
s_008um_00138_00132-1,PC
s_008um_00137_00116-1,PC
s_008um_00083_00130-1,PC
s_008um_00100_00127-1,PC
s_008um_00120_00147-1,PC
s_008um_00130_00128-1,PC
s_008um_00144_00115-1,PC
s_008um_00116_00136-1,PC
s_008um_00137_00142-1,PC
s_008um_00152_00113-1,PC
s_008um_00127_00149-1,PC
s_008um_00079_00126-1,PC
s_008um_00113_00119-1,PC
s_008um_00101_00149-1,PC
s_008um_00120_00142-1,PC
s_008um_00125_00116-1,PC
s_008um_00101_00140-1,PC
s_008um_00125_00134-1,PC
s_008um_00122_00131-1,PC
s_008um_00141_00148-1,PC
s_008um_00085_00145-1,PC
s_008um_00153_00134-1,PC
s_008um_00116_00140-1,PC
s_008um_00141_00134-1,PC
s_008um_00116_00116-1,PC
s_008um_00131_00151-1,PC
s_008um_00133_00112-1,PC
s_008um_00108_00126-1,PC
s_008um_00114_00143-1,PC
s_008um_00128_00146-1,PC
s_008um_00083_00134-1,PC
s_008um_00094_00151-1,PC
s_008um_00092_00124-1,PC
s_008um_00148_00117-1,PC
s_008um_00135_00147-1,PC
s_008um_00085_00142-1,PC
s_008um_00096_00142-1,PC
s_008um_00095_00149-1,PC
s_008um_00140_00119-1,PC
s_008um_00107_00119-1,PC
s_008um_00094_00145-1,PC
s_008um_00138_00119-1,PC
s_008um_00098_00123-1,PC
s_008um_00131_00134-1,PC
s_008um_00085_00144-1,PC
s_008um_00136_00140-1,PC
s_008um_00104_00154-1,PC
s_008um_00088_00152-1,PC
s_008um_00137_00147-1,PC
s_008um_00105_00129-1,PC
s_008um_00122_00136-1,PC
s_008um_00126_00139-1,PC
s_008um_00129_00139-1,PC
s_008um_00107_00139-1,PC
s_008um_00101_00154-1,PC
s_008um_00098_00151-1,PC
s_008um_00116_00121-1,PC
s_008um_00098_00142-1,PC
s_008um_00114_00146-1,PC
s_008um_00119_00128-1,PC
s_008um_00133_00117-1,PC
s_008um_00136_00130-1,PC
s_008um_00109_00156-1,PC
s_008um_00117_00135-1,PC
s_008um_00102_00125-1,PC
s_008um_00118_00134-1,PC
s_008um_00134_00125-1,PC
s_008um_00126_00131-1,PC
s_008um_00135_00111-1,PC
s_008um_00120_00124-1,PC
s_008um_00114_00156-1,PC
s_008um_00152_00137-1,PC
s_008um_00119_00138-1,PC
s_008um_00118_00131-1,PC
s_008um_00113_00132-1,PC
s_008um_00138_00110-1,PC
s_008um_00137_00146-1,PC
s_008um_00137_00120-1,PC
s_008um_00086_00140-1,PC
s_008um_00098_00131-1,PC
s_008um_00128_00111-1,PC
s_008um_00095_00129-1,PC
s_008um_00127_00120-1,PC
s_008um_00088_00131-1,PC
s_008um_00095_00131-1,PC
s_008um_00138_00142-1,PC
s_008um_00145_00115-1,PC
s_008um_00138_00123-1,PC
s_008um_00128_00131-1,PC
s_008um_00082_00127-1,PC
s_008um_00111_00152-1,PC
s_008um_00102_00123-1,PC
s_008um_00123_00154-1,PC
s_008um_00078_00127-1,PC
s_008um_00130_00125-1,PC
s_008um_00144_00107-1,PC
s_008um_00141_00131-1,PC
s_008um_00148_00123-1,PC
s_008um_00132_00142-1,PC
s_008um_00126_00127-1,PC
s_008um_00105_00119-1,PC
s_008um_00134_00145-1,PC
s_008um_00104_00153-1,PC
s_008um_00113_00146-1,PC
s_008um_00139_00116-1,PC
s_008um_00107_00134-1,PC
s_008um_00140_00116-1,PC
s_008um_00132_00139-1,PC
s_008um_00107_00146-1,PC
s_008um_00122_00120-1,PC
s_008um_00118_00139-1,PC
s_008um_00128_00148-1,PC
s_008um_00103_00123-1,PC
s_008um_00116_00149-1,PC
s_008um_00090_00153-1,PC
s_008um_00137_00131-1,PC
s_008um_00138_00116-1,PC
s_008um_00101_00142-1,PC
s_008um_00132_00137-1,PC
s_008um_00101_00121-1,PC
s_008um_00123_00114-1,PC
s_008um_00112_00117-1,PC
s_008um_00115_00134-1,PC
s_008um_00129_00121-1,PC
s_008um_00137_00108-1,PC
